Speed,Commande,Error,IntErr,kp,ki,kd,time,current,voltage,Servo
178.0,180.0,1.031,24.129,1.25,2.5,0.8,1390900,5.152,15.472,62.846
177.0,180.0,2.344,24.363,1.25,2.5,0.8,1391000,1.212,15.414,64.888
175.0,180.0,4.587,24.822,1.25,2.5,0.8,1391100,-1.446,15.465,69.584
174.0,180.0,5.825,25.404,1.25,2.5,0.8,1391200,6.083,15.419,71.782
176.0,180.0,3.438,25.748,1.25,2.5,0.8,1391300,0.487,15.477,66.757
179.0,180.0,0.188,25.767,1.25,2.5,0.8,1391400,3.424,15.41,62.052
179.0,0.0,-179.65,7.802,1.25,2.5,0.8,1391500,0.27,15.47,0.0
174.0,0.0,-174.762,-9.674,1.25,2.5,0.8,1391600,1.925,15.4,0.0
160.0,0.0,-160.431,-25.717,1.25,2.5,0.8,1391700,3.255,15.477,0.0
144.0,0.0,-144.9,-40.0,1.25,2.5,0.8,1391800,1.647,15.415,0.0
128.0,0.0,-128.469,-40.0,1.25,2.5,0.8,1391900,-0.649,15.454,0.0
111.0,0.0,-111.988,-40.0,1.25,2.5,0.8,1392000,0.813,15.434,0.0
97.0,0.0,-97.162,-40.0,1.25,2.5,0.8,1392100,0.33,15.476,0.0
81.0,0.0,-81.7,-40.0,1.25,2.5,0.8,1392200,-0.915,15.464,0.0
68.0,0.0,-68.463,-40.0,1.25,2.5,0.8,1392300,0.777,15.445,0.0
54.0,0.0,-54.306,-40.0,1.25,2.5,0.8,1392400,-0.395,15.46,0.0
41.0,0.0,-41.162,-40.0,1.25,2.5,0.8,1392500,0.813,15.46,0.0
28.0,0.0,-28.487,-40.0,1.25,2.5,0.8,1392600,-0.262,15.449,0.0
16.0,0.0,-16.087,-40.0,1.25,2.5,0.8,1392700,0.403,15.536,0.0
4.0,0.0,-4.594,-40.0,1.25,2.5,0.8,1392800,0.971,15.388,0.0
-7.0,0.0,7.931,-39.207,1.25,2.5,0.8,1392900,0.403,15.464,0.0
-18.0,0.0,18.556,-37.351,1.25,2.5,0.8,1393000,-1.954,15.435,0.0
-28.0,0.0,28.519,-34.499,1.25,2.5,0.8,1393100,0.366,15.5,0.0
-38.0,0.0,38.2,-30.679,1.25,2.5,0.8,1393200,1.635,15.447,0.0
-47.0,0.0,47.0,-25.979,1.25,2.5,0.8,1393300,1.055,15.458,0.842
-56.0,0.0,56.088,-20.371,1.25,2.5,0.8,1393400,0.173,15.445,26.453
-64.0,0.0,64.656,-13.905,1.25,2.5,0.8,1393500,-0.528,15.457,52.913
-68.0,0.0,68.938,-7.011,1.25,2.5,0.8,1393600,1.236,15.41,72.069
-68.0,0.0,68.219,-0.189,1.25,2.5,0.8,1393700,0.475,15.454,84.225
-59.0,0.0,59.562,5.767,1.25,2.5,0.8,1393800,2.36,15.419,81.945
