Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage,Servo
0.0,0.071,0.0375,0.025312,0.0003,0.0001,0.0003,17900,1,0.801392,15.617993,0.071
0.0,0.071,0.025,0.025937,0.0003,0.0001,0.0003,18000,1,0.644288,15.622022,0.071
0.0,0.071,0.0,0.025937,0.0003,0.0001,0.0003,18100,1,0.765138,15.620679,0.071
0.0,0.071,0.0,0.025937,0.0003,0.0001,0.0003,18200,1,0.668457,15.608594,0.071
0.0,0.071,-0.03125,0.025156,0.0003,0.0001,0.0003,18301,1,0.777221,15.604566,0.071
0.0,0.071,0.0625,0.026719,0.0003,0.0001,0.0003,18400,1,0.825562,15.605908,0.071
0.0,0.071,0.0,0.026719,0.0003,0.0001,0.0003,18500,1,0.716796,15.609937,0.071
0.0,0.071,0.04375,0.027812,0.0003,0.0001,0.0003,18600,1,0.753052,15.613965,0.071
0.0,0.071,0.0625,0.029375,0.0003,0.0001,0.0003,18700,1,0.668457,15.60188,0.071
0.0,0.071,-0.04375,0.028281,0.0003,0.0001,0.0003,18801,1,0.789306,15.604566,0.071
0.0,0.071,0.0375,0.029219,0.0003,0.0001,0.0003,18900,1,0.825562,15.605908,0.071
0.0,0.071,0.075,0.031094,0.0003,0.0001,0.0003,19001,1,0.753052,15.609937,0.071
0.0,0.071,0.0,0.031094,0.0003,0.0001,0.0003,19101,1,0.668457,15.607251,0.071
0.0,0.071,0.0625,0.032656,0.0003,0.0001,0.0003,19200,1,0.704713,15.615308,0.071
0.0,0.071,-0.01875,0.032187,0.0003,0.0001,0.0003,19300,1,0.704713,15.623364,0.071
0.0,0.071,0.15,0.035937,0.0003,0.0001,0.0003,19400,1,0.777221,15.611279,0.071
0.0,0.071,0.0,0.035937,0.0003,0.0001,0.0003,19500,1,0.801392,15.611279,0.071
0.0,0.071,0.0,0.035937,0.0003,0.0001,0.0003,19600,1,0.765138,15.616651,0.071
0.0,0.071,0.0,0.035937,0.0003,0.0001,0.0003,19700,1,0.801392,15.607251,0.071
0.0,0.071,-0.075,0.034062,0.0003,0.0001,0.0003,19801,1,0.728881,15.609937,0.071
0.0,0.071,0.0,0.034062,0.0003,0.0001,0.0003,19900,1,0.680542,15.603223,0.071
0.0,0.071,-0.09375,0.031719,0.0003,0.0001,0.0003,20000,1,0.813477,15.609937,0.071
0.0,0.071,-0.06875,0.03,0.0003,0.0001,0.0003,20100,1,0.837646,15.612622,0.071
0.0,0.071,0.05,0.03125,0.0003,0.0001,0.0003,20200,1,0.801392,15.617993,0.071
0.0,0.071,-0.05,0.03,0.0003,0.0001,0.0003,20300,1,0.849731,15.643506,0.071
0.0,0.071,0.0875,0.032187,0.0003,0.0001,0.0003,20400,1,0.668457,15.616651,0.071
0.0,0.071,-0.025,0.031562,0.0003,0.0001,0.0003,20501,1,0.825562,15.613965,0.071
0.0,0.071,0.0375,0.0325,0.0003,0.0001,0.0003,20601,1,0.704713,15.604566,0.071
0.0,0.071,0.0,0.0325,0.0003,0.0001,0.0003,20700,1,0.656371,15.611279,0.071
0.0,0.071,-0.03125,0.031719,0.0003,0.0001,0.0003,20802,1,0.765138,15.608594,0.071
