Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46466975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467000,1
