Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage,Servo,setpoint
258.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414200,1,13.478516,15.72273,50.0,0.0
254.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414300,1,16.572266,15.714673,50.0,0.0
247.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414400,1,-5.845337,15.716016,50.0,0.0
243.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414501,1,2.52954,15.744214,50.0,0.0
246.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414601,1,1.47815,15.714673,50.0,0.0
246.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414701,1,5.055299,15.787183,50.0,0.0
249.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414800,1,9.34546,15.711987,50.0,0.0
250.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,414901,1,-3.36792,15.721387,50.0,0.0
250.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415000,1,22.868528,15.646192,50.0,0.0
249.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415100,1,1.103516,15.690503,50.0,0.0
248.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415200,1,18.38501,15.604566,50.0,0.0
242.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415300,1,-2.497802,15.764356,50.0,0.0
234.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415401,1,-6.981323,15.693189,50.0,0.0
230.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415500,1,-0.068727,15.733472,50.0,0.0
228.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415601,1,-0.092895,15.639478,50.0,0.0
218.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415701,1,14.421144,15.691846,50.0,0.0
205.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415800,1,19.678101,15.588452,50.0,0.0
206.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,415900,1,18.227905,15.710645,50.0,0.0
210.0,0.001026,0.0,10.259382,0.0003,0.0001,0.0,416000,1,21.369995,15.613965,50.0,0.0
