Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage,Servo,setpoint
-90.0,39.916855,0.3125,19.958117,1.25,2.0,0.8,741900,1,4.535644,15.662305,39.916855,-90.0
-89.0,38.063103,-0.712502,19.886866,1.25,2.0,0.8,742000,1,2.952514,15.697217,38.063103,-90.0
-88.0,36.968735,-1.5,19.736866,1.25,2.0,0.8,742101,1,1.744018,15.675733,36.968735,-90.0
-88.0,37.987801,-1.193748,19.617491,1.25,2.0,0.8,742200,1,0.632203,15.677075,37.987801,-90.0
-89.0,38.432167,-0.78125,19.539366,1.25,2.0,0.8,742300,1,5.623291,15.671704,38.432167,-90.0
-88.0,36.399044,-1.46875,19.39249,1.25,2.0,0.8,742400,1,0.438843,15.716016,36.399044,-90.0
-88.0,35.600605,-1.9375,19.19874,1.25,2.0,0.8,742500,1,5.635376,15.667676,35.600605,-90.0
-90.0,40.52404,0.256248,19.224365,1.25,2.0,0.8,742600,1,4.269776,15.669019,40.52404,-90.0
-91.0,42.462482,1.875,19.411865,1.25,2.0,0.8,742700,1,1.876953,15.662305,42.462482,-90.0
-91.0,41.54248,1.875,19.599365,1.25,2.0,0.8,742800,1,0.595946,15.663648,41.54248,-90.0
-90.0,38.795612,0.487503,19.648115,1.25,2.0,0.8,742900,1,1.308961,15.648877,38.795612,-90.0
-90.0,39.609352,0.3125,19.679365,1.25,2.0,0.8,743000,1,-0.999267,15.714673,39.609352,-90.0
-90.0,40.964973,0.824997,19.761866,1.25,2.0,0.8,743101,1,0.825562,15.648877,40.964973,-90.0
-91.0,41.507492,1.175003,19.879366,1.25,2.0,0.8,743200,1,0.89807,15.69856,41.507492,-90.0
-91.0,41.307785,1.106247,19.98999,1.25,2.0,0.8,743300,1,1.599,15.683789,41.307785,-90.0
-90.0,39.854362,0.337502,20.023741,1.25,2.0,0.8,743400,1,1.913209,15.66499,39.854362,-90.0
-90.0,39.918106,0.0625,20.029991,1.25,2.0,0.8,743500,1,0.342164,15.701245,39.918106,-90.0
-89.0,38.884983,-0.5,19.979992,1.25,2.0,0.8,743600,1,4.221435,15.663648,38.884983,-90.0
-88.0,36.675617,-1.637497,19.816242,1.25,2.0,0.8,743700,1,0.523438,15.72273,36.675617,-90.0
-88.0,36.794044,-1.84375,19.631866,1.25,2.0,0.8,743800,1,1.780274,15.691846,36.794044,-90.0
-88.0,38.06686,-1.1875,19.513117,1.25,2.0,0.8,743900,1,-1.8573,15.68916,38.06686,-90.0
-88.0,37.444984,-1.125,19.400618,1.25,2.0,0.8,744000,1,4.801514,15.687818,37.444984,-90.0
-87.0,34.34343,-2.381248,19.162493,1.25,2.0,0.8,744100,1,-1.639771,15.726758,34.34343,-90.0
-87.0,33.53624,-2.974998,18.864992,1.25,2.0,0.8,744200,1,1.16394,15.682446,33.53624,-90.0
-87.0,33.9506,-2.737503,18.591242,1.25,2.0,0.8,744300,1,0.849731,15.671704,33.9506,-90.0
-87.0,33.325611,-2.6875,18.322493,1.25,2.0,0.8,744400,1,0.402589,15.691846,33.325611,-90.0
-87.0,33.184044,-2.493752,18.073118,1.25,2.0,0.8,744501,1,0.221314,15.706616,33.184044,-90.0
-87.0,33.458416,-2.081253,17.864992,1.25,2.0,0.8,744601,1,0.269654,15.733472,33.458416,-90.0
-87.0,32.866867,-2.012497,17.663742,1.25,2.0,0.8,744701,1,2.855835,15.690503,32.866867,-90.0
-88.0,34.574978,-1.050003,17.558743,1.25,2.0,0.8,744801,1,-1.289306,15.683789,34.574978,-90.0
-89.0,34.818428,-0.506248,17.508118,1.25,2.0,0.8,744900,1,-0.129151,15.691846,34.818428,-90.0
-89.0,35.280609,-0.0625,17.501867,1.25,2.0,0.8,745000,1,1.453979,15.693189,35.280609,-90.0
-90.0,36.220932,0.518753,17.553743,1.25,2.0,0.8,745100,1,1.079345,15.702588,36.220932,-90.0
-90.0,36.801861,0.9375,17.647493,1.25,2.0,0.8,745200,1,0.438843,15.744214,36.801861,-90.0
-91.0,38.355923,1.693748,17.816868,1.25,2.0,0.8,745301,1,1.151855,15.62605,38.355923,-90.0
-91.0,38.666229,1.949997,18.011868,1.25,2.0,0.8,745401,1,5.574951,15.667676,38.666229,-90.0
-91.0,37.754368,1.462502,18.158117,1.25,2.0,0.8,745500,1,0.293822,15.697217,37.754368,-90.0
-91.0,38.802483,1.625,18.320618,1.25,2.0,0.8,745601,1,1.647339,15.677075,38.802483,-90.0
-92.0,40.375618,2.237503,18.544369,1.25,2.0,0.8,745700,1,1.623168,15.677075,40.375618,-90.0
-91.0,38.392487,1.375,18.68187,1.25,2.0,0.8,745800,1,4.656494,15.659619,38.392487,-90.0
-91.0,39.638737,1.5,18.831869,1.25,2.0,0.8,745900,1,0.958495,15.65022,39.638737,-90.0
-91.0,40.260616,1.6875,19.00062,1.25,2.0,0.8,746000,1,0.390503,15.687818,40.260616,-90.0
-91.0,40.476234,1.699997,19.17062,1.25,2.0,0.8,746101,1,-0.757568,15.683789,40.476234,-90.0
-92.0,41.509361,2.012497,19.37187,1.25,2.0,0.8,746201,1,-1.156373,15.691846,41.509361,-90.0
-91.0,40.438431,1.46875,19.518745,1.25,2.0,0.8,746300,1,3.484254,15.678418,40.438431,-90.0
-90.0,38.424992,0.25,19.543745,1.25,2.0,0.8,746400,1,3.544679,15.687818,38.424992,-90.0
-88.0,36.328121,-1.137497,19.429995,1.25,2.0,0.8,746500,1,5.067382,15.67439,36.328121,-90.0
-88.0,36.001232,-1.675003,19.262495,1.25,2.0,0.8,746600,1,0.740967,15.66499,36.001232,-90.0
-88.0,36.068115,-1.6875,19.093744,1.25,2.0,0.8,746700,1,-0.636718,15.686475,36.068115,-90.0
-88.0,35.178112,-1.9375,18.899994,1.25,2.0,0.8,746800,1,1.13977,15.644849,35.178112,-90.0
-86.0,32.1078,-3.21875,18.578119,1.25,2.0,0.8,746900,1,0.221314,15.703931,32.1078,-90.0
-88.0,35.540607,-1.862503,18.391869,1.25,2.0,0.8,747000,1,0.366333,15.710645,35.540607,-90.0
-90.0,40.228432,0.868752,18.478745,1.25,2.0,0.8,747100,1,1.40564,15.669019,40.228432,-90.0
-92.0,42.084366,2.587502,18.737495,1.25,2.0,0.8,747200,1,-1.168456,15.690503,42.084366,-90.0
-92.0,40.073734,2.074997,18.944996,1.25,2.0,0.8,747300,1,-1.458497,15.693189,40.073734,-90.0
-90.0,37.973743,0.775002,19.022495,1.25,2.0,0.8,747400,1,1.067262,15.65022,37.973743,-90.0
-91.0,39.759361,1.037498,19.126245,1.25,2.0,0.8,747500,1,4.451051,15.647534,39.759361,-90.0
-91.0,40.797493,1.5,19.276245,1.25,2.0,0.8,747600,1,2.928345,15.687818,40.797493,-90.0
-92.0,41.964996,2.050003,19.481245,1.25,2.0,0.8,747700,1,0.390503,15.686475,41.964996,-90.0
-91.0,40.641232,1.474998,19.628744,1.25,2.0,0.8,747800,1,2.686646,15.670362,40.641232,-90.0
-90.0,38.696243,0.275002,19.656244,1.25,2.0,0.8,747900,1,-1.869385,15.683789,38.696243,-90.0
-89.0,100.0,89.5,25.0,1.25,2.0,0.8,748000,1,0.873902,15.662305,100.0,0.0
-87.0,100.0,87.849998,25.0,1.25,2.0,0.8,748100,1,0.003784,15.659619,100.0,0.0
-66.0,100.0,66.956253,25.0,1.25,2.0,0.8,748200,1,-1.228881,15.690503,100.0,0.0
-38.0,74.92437,38.287498,25.0,1.25,2.0,0.8,748300,1,1.417725,15.662305,74.92437,0.0
-10.0,40.02375,10.075,25.0,1.25,2.0,0.8,748400,1,1.369386,15.663648,40.02375,0.0
