Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage,Servo,setpoint
181.0,50.031235,-1.737503,17.256247,1.0,3.0,0.0,227200,1,0.595946,14.73982,50.031235,180.0
181.0,50.346863,-1.09375,17.146872,1.0,3.0,0.0,227301,1,0.354247,14.699536,50.346863,180.0
179.0,51.538109,0.074997,17.154371,1.0,3.0,0.0,227400,1,0.656371,14.743848,51.538109,180.0
179.0,52.722488,0.96875,17.251245,1.0,3.0,0.0,227500,1,0.547607,14.735791,52.722488,180.0
178.0,53.297485,1.1875,17.369995,1.0,3.0,0.0,227600,1,0.608032,14.731763,53.297485,180.0
177.0,0.0,-177.774994,0.0,1.0,3.0,0.0,227700,1,4.789429,14.737134,0.0,0.0
174.0,0.0,-174.300003,0.0,1.0,3.0,0.0,227800,1,-0.29834,14.710279,0.0,0.0
161.0,0.0,-161.71875,0.0,1.0,3.0,0.0,227900,1,0.257568,14.745191,0.0,0.0
148.0,0.0,-148.199997,0.0,1.0,3.0,0.0,228000,1,0.861816,14.734448,0.0,0.0
133.0,0.0,-133.9375,0.0,1.0,3.0,0.0,228101,1,1.599,14.731763,0.0,0.0
119.0,0.0,-119.550003,0.0,1.0,3.0,0.0,228200,1,1.526489,14.719678,0.0,0.0
106.0,0.0,-106.25,0.0,1.0,3.0,0.0,228300,1,1.260619,14.741162,0.0,0.0
93.0,0.0,-93.237503,0.0,1.0,3.0,0.0,228401,1,2.807496,14.73042,0.0,0.0
80.0,0.0,-80.65625,0.0,1.0,3.0,0.0,228500,1,0.414672,14.749219,0.0,0.0
68.0,0.0,-68.974998,0.0,1.0,3.0,0.0,228600,1,0.765138,14.73042,0.0,0.0
57.0,0.0,-57.912498,0.0,1.0,3.0,0.0,228700,1,0.269654,14.763989,0.0,0.0
46.0,0.0,-46.8125,0.0,1.0,3.0,0.0,228800,1,3.073363,14.738477,0.0,0.0
35.0,0.0,-35.875,0.0,1.0,3.0,0.0,228900,1,0.257568,14.696851,0.0,0.0
25.0,0.0,-25.956249,0.0,1.0,3.0,0.0,229000,1,4.62024,14.737134,0.0,0.0
16.0,0.0,-16.799999,0.0,1.0,3.0,0.0,229100,1,0.269654,14.747876,0.0,0.0
7.0,0.0,-7.55,0.0,1.0,3.0,0.0,229200,1,0.849731,14.702222,0.0,0.0
-1.0,1.86875,1.4375,0.14375,1.0,3.0,0.0,229300,1,4.42688,14.731763,1.86875,0.0
-9.0,12.326249,9.15,1.05875,1.0,3.0,0.0,229400,1,0.221314,14.73042,12.326249,0.0
-16.0,24.025,16.0375,2.6625,1.0,3.0,0.0,229500,1,0.330079,14.750562,24.025,0.0
-24.0,39.918747,24.5625,5.11875,1.0,3.0,0.0,229600,1,1.417725,14.699536,39.918747,0.0
-31.0,55.737499,31.0625,8.224999,1.0,3.0,0.0,229700,1,4.523559,14.704907,55.737499,0.0
-31.0,65.949997,31.75,11.4,1.0,3.0,0.0,229800,1,-0.854249,14.726392,65.949997,0.0
-23.0,65.261871,23.893749,13.789374,1.0,3.0,0.0,229900,1,0.209229,14.735791,65.261871,0.0
-11.0,55.960625,11.225,14.911875,1.0,3.0,0.0,230000,1,4.269776,14.712964,55.960625,0.0
0.0,44.695,-0.03125,14.90875,1.0,3.0,0.0,230100,1,-1.313477,14.734448,44.695,0.0
5.0,37.397495,-5.6375,14.344999,1.0,3.0,0.0,230200,1,0.257568,14.722363,37.397495,0.0
