Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage,Servo
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,520500,1,0.221314,15.532056,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,520600,1,1.031005,15.499829,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,520700,1,0.704713,15.497144,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,520801,1,0.148804,15.510571,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,520901,1,0.583863,15.515943,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521001,1,4.330201,15.521314,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521101,1,0.426757,15.549512,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521200,1,0.185058,15.501172,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521300,1,4.753175,15.493115,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521400,1,0.293822,15.536084,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521500,1,1.695678,15.49043,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521600,1,3.049195,15.498487,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521701,1,0.523438,15.509229,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521801,1,3.000855,15.517285,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,521900,1,1.429811,15.487744,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522000,1,3.302979,15.507886,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522100,1,1.417725,15.485059,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522200,1,5.86499,15.509229,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522300,1,0.293822,15.521314,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522400,1,0.825562,15.498487,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522500,1,1.67151,15.521314,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522600,1,6.106689,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522700,1,0.740967,15.483716,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522800,1,4.197266,15.518628,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,522900,1,2.360351,15.523999,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523000,1,0.245483,15.518628,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523100,1,1.236451,15.474317,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523200,1,0.499268,15.572339,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523300,1,0.209229,15.548169,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523400,1,0.281739,15.511914,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523500,1,0.330079,15.517285,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523600,1,1.985717,15.495801,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523700,1,4.438965,15.502515,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523800,1,-0.733399,15.497144,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,523900,1,0.305908,15.519971,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524000,1,0.209229,15.507886,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524100,1,-0.890503,15.521314,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524200,1,1.538575,15.493115,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524300,1,2.336183,15.530713,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524400,1,-0.950928,15.486402,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524500,1,0.644288,15.501172,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524600,1,0.366333,15.515943,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524700,1,1.55066,15.49043,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524800,1,2.263672,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,524900,1,0.753052,15.471631,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525000,1,-1.579347,15.532056,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525101,1,0.281739,15.499829,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525200,1,4.934449,15.507886,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525301,1,6.179199,15.515943,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525401,1,0.354247,15.525342,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525501,1,0.523438,15.53877,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525600,1,4.221435,15.489087,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525700,1,-1.724365,15.515943,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525800,1,1.490235,15.498487,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,525900,1,4.668579,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526000,1,1.647339,15.506543,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526102,1,1.01892,15.510571,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526201,1,-1.92981,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526300,1,-1.265137,15.5146,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526401,1,5.079467,15.501172,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526500,1,-0.781739,15.518628,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526600,1,0.450928,15.56294,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526700,1,-0.165405,15.513257,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526800,1,0.148804,15.507886,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,526901,1,1.127687,15.472974,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527000,1,0.89807,15.489087,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527100,1,0.281739,15.534741,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527200,1,5.321167,15.503858,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527300,1,4.583983,15.525342,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527400,1,3.06128,15.485059,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527500,1,0.245483,15.526685,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527600,1,0.148804,15.46626,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527701,1,3.798461,15.5146,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527800,1,1.502318,15.507886,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,527900,1,2.154908,15.494458,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528000,1,1.780274,15.485059,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528100,1,0.269654,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528200,1,0.366333,15.56294,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528300,1,3.460083,15.517285,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528400,1,1.369386,15.463574,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528500,1,4.994874,15.5052,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528600,1,4.245605,15.510571,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528700,1,0.317993,15.541455,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528800,1,1.67151,15.509229,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,528900,1,4.910278,15.515943,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,529000,1,0.148804,15.525342,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,529100,1,0.765138,15.517285,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,529200,1,0.813477,15.479688,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,529300,1,1.780274,15.510571,50.0
0.0,0.071,0.0,-0.030312,10.0,0.0,0.0,529400,1,1.599,15.459546,50.0
