Speed,Commande,Error,IntErr,kp,ki,kd,time,current,voltage,Servo
179.0,180.0,0.294,25.608,1.0,2.5,0.8,261700,2.65,15.363,49.319
187.0,180.0,-7.812,24.932,1.0,2.5,0.8,261800,-1.797,15.364,29.319
186.0,180.0,-6.938,24.239,1.0,2.5,0.8,261900,-2.897,15.4,21.451
171.0,180.0,8.669,24.143,1.0,2.5,0.8,262000,5.974,15.367,32.132
153.0,180.0,26.163,25.429,1.0,2.5,0.8,262100,-2.897,15.402,52.132
140.0,180.0,39.5,28.182,1.0,2.5,0.8,262200,0.282,15.447,72.132
137.0,180.0,42.35,31.955,1.0,2.5,0.8,262300,0.318,15.488,92.132
147.0,180.0,32.012,35.157,1.0,2.5,0.8,262400,1.188,15.353,87.441
161.0,180.0,18.188,36.975,1.0,2.5,0.8,262500,-0.008,15.43,67.446
176.0,180.0,3.312,37.531,1.0,2.5,0.8,262600,-3.489,15.384,47.446
184.0,180.0,-4.156,37.115,1.0,2.5,0.8,262700,-1.217,15.396,33.222
180.0,180.0,-0.962,36.848,1.0,2.5,0.8,262800,0.028,15.395,33.222
171.0,180.0,8.1,36.91,1.0,2.5,0.8,262900,2.143,15.41,45.781
164.0,180.0,15.719,37.753,1.0,2.5,0.8,263000,1.418,15.331,65.776
158.0,180.0,21.062,39.225,1.0,2.5,0.8,263100,-0.274,15.413,85.776
159.0,180.0,20.156,41.081,1.0,2.5,0.8,263200,7.944,15.325,100.0
173.0,180.0,6.156,41.712,1.0,2.5,0.8,263300,2.735,15.398,80.0
190.0,180.0,-10.613,41.082,1.0,2.5,0.8,263400,0.596,15.404,60.0
202.0,180.0,-22.312,39.039,1.0,2.5,0.8,263500,2.421,15.368,40.0
206.0,180.0,-26.025,36.436,1.0,2.5,0.8,263600,-0.129,15.415,27.073
195.0,180.0,-15.688,34.326,1.0,2.5,0.8,263700,1.236,15.38,27.073
178.0,180.0,1.106,33.221,1.0,2.5,0.8,263800,9.2,15.355,47.073
164.0,180.0,15.425,33.595,1.0,2.5,0.8,263900,4.149,15.359,67.073
157.0,180.0,22.925,35.161,1.0,2.5,0.8,264000,0.451,15.392,87.073
160.0,180.0,19.988,37.159,1.0,2.5,0.8,264100,-1.676,15.421,97.877
172.0,180.0,8.0,37.959,1.0,2.5,0.8,264200,7.049,15.388,79.277
187.0,180.0,-7.719,37.593,1.0,2.5,0.8,264300,1.394,15.371,59.277
198.0,180.0,-18.0,35.9,1.0,2.5,0.8,264400,4.947,15.325,39.277
199.0,-180.0,-379.244,1.918,1.0,2.5,0.8,264500,8.85,15.406,19.277
189.0,-180.0,-369.638,-31.241,1.0,2.5,0.8,264600,0.499,15.4,1.4
170.0,-180.0,-350.794,-62.662,1.0,2.5,0.8,264700,-2.619,15.435,-0.0
